date,channel,region,segment,product_name,started,submitted,in_progress,completed,approved,failures,avg_time_minutes,sla_target_minutes,pipeline_total_cr,pipeline_risk_cr,sla_breached,stuck_24h
2026-02-02,Mobile App,North Zone,Retail,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,North Zone,Retail,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,North Zone,Retail,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,North Zone,Priority,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,North Zone,Priority,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,North Zone,Priority,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,North Zone,SME,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,North Zone,SME,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,North Zone,SME,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,South Zone,Retail,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,South Zone,Retail,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,South Zone,Retail,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,South Zone,Priority,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,South Zone,Priority,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,South Zone,Priority,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,South Zone,SME,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,South Zone,SME,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,South Zone,SME,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,East Zone,Retail,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,East Zone,Retail,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,East Zone,Retail,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,East Zone,Priority,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,East Zone,Priority,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,East Zone,Priority,Home Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,East Zone,SME,Credit Card,1010,707,303,606,484,50,20,20,30,6.0,50,15
2026-02-02,Mobile App,East Zone,SME,Personal Loan,1010,707,303,606,484,50,20,20,30,6.0,50,15
